FC_Number,Status,Client_Project,Job_Description,Expected_Start_End,PM,Trucks,Trailers,New_Comments,Previous_Comments_1,Previous_Comments_2
,Upcoming Project,Shell Mars,Compressor Oil Flush,,Mike D,,,,3/11 May 1 mobe.,3/11 May 1 mobe.
203159,Upcoming Project,Hose Source,BP chemcial hose flush,March,Pat B,,,,3/14 Hoses will be in this week. | 3/4 Waiting on hoses.,3/14 Hoses will be in this week. | 3/4 Waiting on hoses.
202803,Upcoming Project,LLOG - Taggart,Umbilical Pre-Com,Mid to late may,Pat B/Greg L,,,,3/14 no update | 3/11 Working on deliverables. | 3/7 Pushed to Mid-end of May. | 3/4 Pushed to April. | 3/2 Working on deliverables. | 2/28 Still working throuhg deliverables. | 2/25 Deliverables are due Tuesday but will move to Wednesday due to holiday. | 2/23 On schedule for April/May.  Pat and Greg are working on deliverables. | 2/21 Working on deliverables. | 2/18 Putting things together. | 2/9 Submitted tracker plan for deliverables.   | 2/7 Greg and Pat working on deliverables due March.  When Greg returns from Shell will look at PWP and specs.   | 2/4 Working on deliverables. | 1/31 Delivered action tracker last friday.   | 1/28 Working on action tracker.  Will submit today.  Drilling campaign wont finish until early april.  May be separate mobe during completions phase but will likely be May. | 1/26 Kickoff yesterday.  Need to work out a schedule for deliverables.  Need to see if we need any parts ordered. | 1/24 Have a meeting tomorrow.  Greg working on deliverables. | 1/21 Kick off mtg Tuesday.  Greg and Pat started putting documentation together and pulling equipment next week for long lead item.,3/14 no update | 3/11 Working on deliverables. | 3/7 Pushed to Mid-end of May. | 3/4 Pushed to April. | 3/2 Working on deliverables. | 2/28 Still working throuhg deliverables. | 2/25 Deliverables are due Tuesday but will move to Wednesday due to holiday. | 2/23 On schedule for April/May.  Pat and Greg are working on deliverables. | 2/21 Working on deliverables. | 2/18 Putting things together. | 2/9 Submitted tracker plan for deliverables.   | 2/7 Greg and Pat working on deliverables due March.  When Greg returns from Shell will look at PWP and specs.   | 2/4 Working on deliverables. | 1/31 Delivered action tracker last friday.   | 1/28 Working on action tracker.  Will submit today.  Drilling campaign wont finish until early april.  May be separate mobe during completions phase but will likely be May. | 1/26 Kickoff yesterday.  Need to work out a schedule for deliverables.  Need to see if we need any parts ordered. | 1/24 Have a meeting tomorrow.  Greg working on deliverables. | 1/21 Kick off mtg Tuesday.  Greg and Pat started putting documentation together and pulling equipment next week for long lead item.
203103,Upcoming Project,LLOG - Dome patrol subsea issues troubleshooting,Umbilcial troubleshooting,March 20th,Pat B/Greg L,,,,3/14 2 guys going with PPS crew and then James going wednesday on the ROV vessel. | 3/11 on track. | 3/9 added scope. | 3/7 Shipping equipment and mobilizing personnel around the 20th. | 3/4 No update. | 2/28 still scheduled for March 17.  Waiting on pinnacle to send over procedure.  Will start getting equipment ready. | 2/25 No update. | 2/23 Received PO.  Mobing March 17.   | 2/18 Meeting this morning.,3/14 2 guys going with PPS crew and then James going wednesday on the ROV vessel. | 3/11 on track. | 3/9 added scope. | 3/7 Shipping equipment and mobilizing personnel around the 20th. | 3/4 No update. | 2/28 still scheduled for March 17.  Waiting on pinnacle to send over procedure.  Will start getting equipment ready. | 2/25 No update. | 2/23 Received PO.  Mobing March 17.   | 2/18 Meeting this morning.
,Upcoming Project,Clean tank,,,,,,,,
203039,Projects Returned - Invoicing Stage,LLOG - Hose Rental,Diesel rental equipment,Ongoing,Pat B,,,,2/28 ongoing | 2/23 Ongoing. | 1/31 Ongoing | 1/28 ongoing | 1/26 ongoing | 1/24 Ongoing | 1/21 ~2weeks left of rental. | 1/17 Shipped out Saturday.,2/28 ongoing | 2/23 Ongoing. | 1/31 Ongoing | 1/28 ongoing | 1/26 ongoing | 1/24 Ongoing | 1/21 ~2weeks left of rental. | 1/17 Shipped out Saturday.
203023,Projects Returned - Invoicing Stage,Shell Enchilada,Turbine flush,2022-02-15 00:00:00,Mike D,,,,2/28 Equipment returned | 2/25 Should be in today. | 2/23 Finished.  Equipment coming in tomorrow. | 2/21 Finished up.  Guys came in on Saturday. | 2/18 Finished up late last night.  Should becoming in this weekend. | 2/16 Moving along well. | 2/14 Seems like everythign is going well. | 2/9 Mobed out this morning. | 2/7 Leaving 9:30 Wed. for 1 week | 2/4 Loading equipment out today. Inspection went well.   | 1/31 Inspection this week.  Mobe next week. | 1/28 They have a meeting today to discuss electrical requirements.  Getting ready to Set up inspection | 1/26 Loading equipment now to get ready for inspection. | 1/24 Scheduled to mobe the 7th or 10th depending on helicopter availability.  Getting equipment ready. | 1/17 Mike on call with them now.  Mobing 2/7 | 1/14 Phone call this morning to schedule | 1/12 Working on workpack.  Will have out today. | 1/10 Conference call today. Mike working on PWP's.  Turbine details and kick off discussed.  Q1 work.,2/28 Equipment returned | 2/25 Should be in today. | 2/23 Finished.  Equipment coming in tomorrow. | 2/21 Finished up.  Guys came in on Saturday. | 2/18 Finished up late last night.  Should becoming in this weekend. | 2/16 Moving along well. | 2/14 Seems like everythign is going well. | 2/9 Mobed out this morning. | 2/7 Leaving 9:30 Wed. for 1 week | 2/4 Loading equipment out today. Inspection went well.   | 1/31 Inspection this week.  Mobe next week. | 1/28 They have a meeting today to discuss electrical requirements.  Getting ready to Set up inspection | 1/26 Loading equipment now to get ready for inspection. | 1/24 Scheduled to mobe the 7th or 10th depending on helicopter availability.  Getting equipment ready. | 1/17 Mike on call with them now.  Mobing 2/7 | 1/14 Phone call this morning to schedule | 1/12 Working on workpack.  Will have out today. | 1/10 Conference call today. Mike working on PWP's.  Turbine details and kick off discussed.  Q1 work.
203136,Projects Returned - Invoicing Stage,Clean Tank - Tank flushing,Shell MV Vessel Storm tank flush,ongoing,Pat B,,,,2/23 Complete. | 2/21 Mobing back out tomorrow. | 2/18 Finished tank cleaning on vessels.  Now we are loading xylene on the vessel. Will go back next week to finish up. | 2/16 added to scope.  Will be there until Friday/Saturday. | 2/14 Mobing right now.,2/23 Complete. | 2/21 Mobing back out tomorrow. | 2/18 Finished tank cleaning on vessels.  Now we are loading xylene on the vessel. Will go back next week to finish up. | 2/16 added to scope.  Will be there until Friday/Saturday. | 2/14 Mobing right now.
202860,Projects Returned - Invoicing Stage,Hose Source - BP hose,Final Cleaning of BP hoses,,Greg L,,,,2/25 Hoses at the shop now to work on. | 2/23 Getting more hoses in today. | 2/18 Hoses finished last night. | 2/14 All will be coming in for final clean endo f this week or next week,2/25 Hoses at the shop now to work on. | 2/23 Getting more hoses in today. | 2/18 Hoses finished last night. | 2/14 All will be coming in for final clean endo f this week or next week
203053,Projects Returned - Invoicing Stage,Murphy-Beacon La Femme Rental,Xylene rental equipmetn,ongoing,Pat B,,,,2/28 Complete | 2/25 Ongoing. | 2/21 Equipment coming in today. | 2/16 Ongoing | 1/31 Went out Friday. | 1/28 Shipping out today. | 1/24 Shipping hoses out Friday. | 1/21 Received call from JL (Beacon).  Xylene pkg needed for next week going to Delta House.  ,2/28 Complete | 2/25 Ongoing. | 2/21 Equipment coming in today. | 2/16 Ongoing | 1/31 Went out Friday. | 1/28 Shipping out today. | 1/24 Shipping hoses out Friday. | 1/21 Received call from JL (Beacon).  Xylene pkg needed for next week going to Delta House.  
202938,Projects Returned - Invoicing Stage,AGI Industries - Shell Mars,Flushing two Chemical Injection skids to a NAS -8 for Shell Mars,Mid- Dec,Greg L,,,,1/10 Completed 2 CI skids last week.  MeOH upcoming. | 1/07 Should be finished today. | 1/05 Loading out today. | 12/22 Just responded to email.  Mid-next week. | 12/15 Pushed to next Monday | 12/10 Site visit on Monday.  To start next week. | 12/08 - Awarded,1/10 Completed 2 CI skids last week.  MeOH upcoming. | 1/07 Should be finished today. | 1/05 Loading out today. | 12/22 Just responded to email.  Mid-next week. | 12/15 Pushed to next Monday | 12/10 Site visit on Monday.  To start next week. | 12/08 - Awarded
202744,Projects Returned - Invoicing Stage,PES/SBM,Vat dip spools,2021-12-09 00:00:00,Greg L,,,,1/12 Complete | 1/05 Waiting on approval of a couple of tickets. | 12/22 Completed all spools.  Rigged down and vid inspection yesterday.  Working on report.  They wont get to the tank until Monday.   | 12/15 2 of the 3 are complete.  Will likely be done this week or this weekend. | 12/10 Ongoing as of today.  Laid out berms and moved in equipment yesterday.  Chevron first and then SBN after.  Should be 10 days. | 12/8 Starting this weekend. | 12/6 Received PO.  Making a site visit. | 12/3 Performing sometime after Christmas.  Site visit next week.  They want to perform it in Houma rather than here. | 12/1 Waiting on change order signatures before issuing PO. | 11/29 Should receive PO today as part of vat dipping project. | 11/19 Still alive. | 11/12 Revised a bid and lost job due to other job. | 11/10 Possible start on 11/22 | 11/8 Need to call. | 11/5 Same | 11/3 December | 11/1 No update.  Marcus visited last week. | 10/27 No update | 10/20 Waiting on word | 10/18 Waiting on SPM on when to make them.  Nee d mods on existing ones. | 10/15 Was already executed | 10/13 Mid november. | 9/29 | 9/27 Pickling spools as we speak | 9/24 May not happen. | 9/20 Mid-November mobe | 9/17 Meeting with PES next week | 9/8 Missing spools from Ida. | 8/23 Building more spools.  Client will notify when ready. | 8/16 Failed hydrotest.  Will call when ready,1/12 Complete | 1/05 Waiting on approval of a couple of tickets. | 12/22 Completed all spools.  Rigged down and vid inspection yesterday.  Working on report.  They wont get to the tank until Monday.   | 12/15 2 of the 3 are complete.  Will likely be done this week or this weekend. | 12/10 Ongoing as of today.  Laid out berms and moved in equipment yesterday.  Chevron first and then SBN after.  Should be 10 days. | 12/8 Starting this weekend. | 12/6 Received PO.  Making a site visit. | 12/3 Performing sometime after Christmas.  Site visit next week.  They want to perform it in Houma rather than here. | 12/1 Waiting on change order signatures before issuing PO. | 11/29 Should receive PO today as part of vat dipping project. | 11/19 Still alive. | 11/12 Revised a bid and lost job due to other job. | 11/10 Possible start on 11/22 | 11/8 Need to call. | 11/5 Same | 11/3 December | 11/1 No update.  Marcus visited last week. | 10/27 No update | 10/20 Waiting on word | 10/18 Waiting on SPM on when to make them.  Nee d mods on existing ones. | 10/15 Was already executed | 10/13 Mid november. | 9/29 | 9/27 Pickling spools as we speak | 9/24 May not happen. | 9/20 Mid-November mobe | 9/17 Meeting with PES next week | 9/8 Missing spools from Ida. | 8/23 Building more spools.  Client will notify when ready. | 8/16 Failed hydrotest.  Will call when ready
202952,Projects Returned - Invoicing Stage,Parker Well bore,Hydraulic cooler flush,,Mike D,,,,1/10 Completed. | 1/7 Shop work in progress,1/10 Completed. | 1/7 Shop work in progress
203016,Projects Returned - Invoicing Stage,Cornerstone,Pickle spools,,Mike D,,,,1/12 Complete. | 1/10 Greg completing paperwork after inspection. | 1/7 Shop work in progress,1/12 Complete. | 1/10 Greg completing paperwork after inspection. | 1/7 Shop work in progress
202830,Projects Returned - Invoicing Stage,LLOG - Dome Patrol,Umbilical Displacements,2021-11-17 00:00:00,Greg L/Pat B,,,,12/3 Complete | 12/1 Need to invoice. | 11/29 Guys in today at 2am.  | 11/19 On standby until probably tomorrow. | 11/17 Pre-job today.  Equipment leaving today and Personnel tomorrow. | 11/15 LEaving to go offshore on Wednesday. | 11/12 Leaving Tuesday.  Inspector will witness function test today.   | 11/10 Dome patrol leaving sunday. | 11/8 Still slated to go out Sunday.  Need 1 more | 11/5 Slated to go out on 11/14 | 11/3 Still set for 14th.  Shipping equipment and personnel on 14th.  HAZID on Friday. | 11/1 Personnel and equipment for November 14th.  HAZOP this week | 10/27 4 guys.  ,12/3 Complete | 12/1 Need to invoice. | 11/29 Guys in today at 2am.  | 11/19 On standby until probably tomorrow. | 11/17 Pre-job today.  Equipment leaving today and Personnel tomorrow. | 11/15 LEaving to go offshore on Wednesday. | 11/12 Leaving Tuesday.  Inspector will witness function test today.   | 11/10 Dome patrol leaving sunday. | 11/8 Still slated to go out Sunday.  Need 1 more | 11/5 Slated to go out on 11/14 | 11/3 Still set for 14th.  Shipping equipment and personnel on 14th.  HAZID on Friday. | 11/1 Personnel and equipment for November 14th.  HAZOP this week | 10/27 4 guys.  
202642,Projects Returned - Invoicing Stage,RCS - Fantasy Island tank flush,M/V Fantasy Island flush - 12 tanks,2021-11-09 00:00:00,,,,,11/17 Completed yetsreday.  Equipment coming in today. | 11/15 Finished big tanks.  On small tanks.  5 left.  Should finish some time tomorrow morning. | 11/12 Moving forward.  Trying to send different filters to speed up the process. | 11/8 Start tomorrow | 11/5 Starting on Tuesday.   | 11/3 No change | 11/1 November 9.   | 10/27 Startign on the 9th.  Working 24 hrs.  2 sets of equipment.  6 personnel. 4-5 days.,11/17 Completed yetsreday.  Equipment coming in today. | 11/15 Finished big tanks.  On small tanks.  5 left.  Should finish some time tomorrow morning. | 11/12 Moving forward.  Trying to send different filters to speed up the process. | 11/8 Start tomorrow | 11/5 Starting on Tuesday.   | 11/3 No change | 11/1 November 9.   | 10/27 Startign on the 9th.  Working 24 hrs.  2 sets of equipment.  6 personnel. 4-5 days.
202401,Projects Returned - Invoicing Stage,W-industries ,LLOG spruance p&p and flushing ,Early November,Greg L,,,,"11/17 Complete.  WAititng on tickets to be approved | 11/12 Complete.  Picked up and out of there yesterday. | 11/10 Should be wrapping up today. 75% dry yesterday. | 11/8 Should finish on Wednesday. | 11/5 Should be finishing tomorrow | 11/3 Mobiing out tomorrow to flush skid. | 11/1 Changin out tubing and piping on the skid.  Will reach out to find out when to go back.  Shouhld be end of this week | 10/29 CHanged some piping.  Need us wed/thurs next week. | 10/27 Air dryer out yesterday.  Dried 2 of the 7 tanks.  Whould wrap tomorrow.  W has work to do for us to finish. | 10/25 Ongoing.  May finish later this week. | 10/22 Starting on smaller tanks.  Should start drying tomorrow. | 10/20 Got back on Monday.  Set up and filling up tanks.  Should start circulating today.  Moving tank to tank.  Skid should be ready next week. | 10/18 Starting today. | 10/15 Loading out tank portion today with Amine equipment from Kiewitt.  2 personnel there on Monday.  Start on chemical injection modules later in the week. | 10/13 Will start Monday. | 10/8 Pat met yesterday.  Re-did procedure | 10/6 conference call this afternoon | 10/4 Meeting tomorrow to discuss theplan moving forward | 9/22 Early november.  Will no longer be doing the pressure testing. | 9/20 On hold again | 9/17 3 weeks till we go back | 9/8 Havinig issues locating spool pieces.  May push a little more | 9/1 End of setpember for NAS filtration | 8/27 End of september | 8/25 Finished P&P of tanks.  Will start putting everything on skid.  2-3 weeks before they need us back.  Second phase to mobe end of September | 8/23  Finishing today.  Client happy.  Picking up equipment today. | 8/20 Ending this weekend or early next week.  May send Gabe (new PPC) for training.  Flushing 2-3 week delay for prepping. | 8/18 Should finish with the tanks this week. | 8/16 First tank finished today. | 8/9 Delayed due to covid | 8/4 James, Mike D, + 2contractors until Kevin finished up/trained (confined entry). | 8/2 Starts Monday.  Need 4 for CSE this week.  Need to ID people.  Need them for 1 month. | 7/28 Will start 8/9.  Flushing will happen after P&P.  Through end of August. | 7/23 Static tank test tanks.  August 6. | 7/19 Will transfer over in a couple weeks. | 7/9 Same tanks as static cleaning at PES.  | 7/7 May be starting next week. | 6/25 needs to go to ongoing | 6/18 No update. | 6/9 Scope 1 will start July 19th Throguh the 31st.  Scope 2 flushing and drying will start 8/2 to 8/11.  10 hour days Monday through Saturday.","11/17 Complete.  WAititng on tickets to be approved | 11/12 Complete.  Picked up and out of there yesterday. | 11/10 Should be wrapping up today. 75% dry yesterday. | 11/8 Should finish on Wednesday. | 11/5 Should be finishing tomorrow | 11/3 Mobiing out tomorrow to flush skid. | 11/1 Changin out tubing and piping on the skid.  Will reach out to find out when to go back.  Shouhld be end of this week | 10/29 CHanged some piping.  Need us wed/thurs next week. | 10/27 Air dryer out yesterday.  Dried 2 of the 7 tanks.  Whould wrap tomorrow.  W has work to do for us to finish. | 10/25 Ongoing.  May finish later this week. | 10/22 Starting on smaller tanks.  Should start drying tomorrow. | 10/20 Got back on Monday.  Set up and filling up tanks.  Should start circulating today.  Moving tank to tank.  Skid should be ready next week. | 10/18 Starting today. | 10/15 Loading out tank portion today with Amine equipment from Kiewitt.  2 personnel there on Monday.  Start on chemical injection modules later in the week. | 10/13 Will start Monday. | 10/8 Pat met yesterday.  Re-did procedure | 10/6 conference call this afternoon | 10/4 Meeting tomorrow to discuss theplan moving forward | 9/22 Early november.  Will no longer be doing the pressure testing. | 9/20 On hold again | 9/17 3 weeks till we go back | 9/8 Havinig issues locating spool pieces.  May push a little more | 9/1 End of setpember for NAS filtration | 8/27 End of september | 8/25 Finished P&P of tanks.  Will start putting everything on skid.  2-3 weeks before they need us back.  Second phase to mobe end of September | 8/23  Finishing today.  Client happy.  Picking up equipment today. | 8/20 Ending this weekend or early next week.  May send Gabe (new PPC) for training.  Flushing 2-3 week delay for prepping. | 8/18 Should finish with the tanks this week. | 8/16 First tank finished today. | 8/9 Delayed due to covid | 8/4 James, Mike D, + 2contractors until Kevin finished up/trained (confined entry). | 8/2 Starts Monday.  Need 4 for CSE this week.  Need to ID people.  Need them for 1 month. | 7/28 Will start 8/9.  Flushing will happen after P&P.  Through end of August. | 7/23 Static tank test tanks.  August 6. | 7/19 Will transfer over in a couple weeks. | 7/9 Same tanks as static cleaning at PES.  | 7/7 May be starting next week. | 6/25 needs to go to ongoing | 6/18 No update. | 6/9 Scope 1 will start July 19th Throguh the 31st.  Scope 2 flushing and drying will start 8/2 to 8/11.  10 hour days Monday through Saturday."
202827,Projects Returned - Invoicing Stage,Kiewit Contractors,Fluid samples,October - ongoing,Pat B,,,,11/1 Complete | 10/20 Ongoing | 10/13 Samples coming in every week.,11/1 Complete | 10/20 Ongoing | 10/13 Samples coming in every week.
202822,Projects Returned - Invoicing Stage,Overland Contractors,Fluid smaples,October - ongoing,Pat B,,,,11/1 Complete | 10/18 Ongoing,11/1 Complete | 10/18 Ongoing
202858,Projects Returned - Invoicing Stage,BSM/Entergy,Circulating lube oil reservoir,2021-10-26 00:00:00,Mike D,,,,11/3 Complete | 11/1 Complete.  Guys back in | 10/29 Should finish up late tomorrow/early sunday. | 10/27 Should be getting there soon to get started.  Mike D will be there tomorrow. | 10/25 Startingn tomorrow morning.  Need to be on site for 9:00.  Should be done by Friday. | 10/22 Setting up to run out pumpp.  Likely mobe out Tuesday/wednesday. | 10/20 Need 2-3 guys for mid next week.   | 10/18 Need to train 3 guys up for CBT's.  Need crew.,11/3 Complete | 11/1 Complete.  Guys back in | 10/29 Should finish up late tomorrow/early sunday. | 10/27 Should be getting there soon to get started.  Mike D will be there tomorrow. | 10/25 Startingn tomorrow morning.  Need to be on site for 9:00.  Should be done by Friday. | 10/22 Setting up to run out pumpp.  Likely mobe out Tuesday/wednesday. | 10/20 Need 2-3 guys for mid next week.   | 10/18 Need to train 3 guys up for CBT's.  Need crew.
202776,Projects Returned - Invoicing Stage,Kiewit Cameron,Amine Flushing,Ongoing,Mike D,,,,10/20 Complete | 10/18 Equipment unloading.  Waiting on approval of tickets. | 10/13 Complete.  Equipment returned last night. | 10/6 Ongoing | 10/4 Starting today,10/20 Complete | 10/18 Equipment unloading.  Waiting on approval of tickets. | 10/13 Complete.  Equipment returned last night. | 10/6 Ongoing | 10/4 Starting today
202698,Projects Returned - Invoicing Stage,Clean Tank,MV Amber - 500 bbls of methanol - filter and load back,Completed,Greg L,,,,9/13- complete9/8 will be mobilizing.   | 9/1 Tried reaching out.  They're alive.  Not sure of status for work.  Probably on hold | 8/27 500 bbls of methanol.  End of next week mobilization depending on storm.,9/13- complete9/8 will be mobilizing.   | 9/1 Tried reaching out.  They're alive.  Not sure of status for work.  Probably on hold | 8/27 500 bbls of methanol.  End of next week mobilization depending on storm.
202363,Projects Returned - Invoicing Stage,BF-GATE,N2 Bottle Rental,May 21,Pat B,,,,8/27 off rent today | 8/25 Coming off of rent in the next couple days | 8/18 Still using them | 7/30 still on rent.   | 7/21 Still on rent | 6/2 Equipment on rent,8/27 off rent today | 8/25 Coming off of rent in the next couple days | 8/18 Still using them | 7/30 still on rent.   | 7/21 Still on rent | 6/2 Equipment on rent
202432,Projects Returned - Invoicing Stage,Hose Source ,BP chemical transfer hose,October,Pat B,,,,"8/25 Complete | 8/23  Waiting on more hose from offshore.  1 hose completed. | 8/20  Finished yesterday.  Sept/Oct may get more then a more regular stream of work. | 8/18 hose came in on monday.  Received back from inspection.  Will conduct final clean today or tomorrow. | 8/16 Should get hose today to do a final clean on. | 8/4 Scope definition:  Should start in Oct and flush 4-5 hoses every month.  Initial clean then send to Hose Source for testing, then HS sends back to BF for NAS final clean.  PO received.   | 7/9 Waiting on contract.  Shop work. | 7/2 Not flushing transfer hoses. | 6/30 Waiting on word for schedule.  This month or next month. | 6/28 Periodic flushing of hoses for BP.","8/25 Complete | 8/23  Waiting on more hose from offshore.  1 hose completed. | 8/20  Finished yesterday.  Sept/Oct may get more then a more regular stream of work. | 8/18 hose came in on monday.  Received back from inspection.  Will conduct final clean today or tomorrow. | 8/16 Should get hose today to do a final clean on. | 8/4 Scope definition:  Should start in Oct and flush 4-5 hoses every month.  Initial clean then send to Hose Source for testing, then HS sends back to BF for NAS final clean.  PO received.   | 7/9 Waiting on contract.  Shop work. | 7/2 Not flushing transfer hoses. | 6/30 Waiting on word for schedule.  This month or next month. | 6/28 Periodic flushing of hoses for BP."
202378,Projects Returned - Invoicing Stage,Danos/Shell Auger - Land,Flushing and testing Surface Accumulators,ongoing,Greg L,,,,8/16 Still want equipment by friday.  Seems unlikely | 8/4 CoVid issues.  Mobilization changing.  Not next week for sure. | 8/2 Sent back 5 spools already flushed due to cutting and welding again.  Should be finished with them on Wed morning. | 7/30 re-do 7 spool pieces.  Not sure when we will get them here. | 7/28 Had to re-do 7 spool pieces.  Will pig and flush. | 7/26 Complete | 7/21 Flushing now.  Shouldl be done by noon tomorrow. | 7/19 2 guys in shop. Pat preparing for this. | 7/12 Should receive piping late this week/early next week to begin flulshing. | 6/25 on schedule | 6/18 Sending us the piping 7/1.  Offshore scope ~7/31. | 6/9 No real update,8/16 Still want equipment by friday.  Seems unlikely | 8/4 CoVid issues.  Mobilization changing.  Not next week for sure. | 8/2 Sent back 5 spools already flushed due to cutting and welding again.  Should be finished with them on Wed morning. | 7/30 re-do 7 spool pieces.  Not sure when we will get them here. | 7/28 Had to re-do 7 spool pieces.  Will pig and flush. | 7/26 Complete | 7/21 Flushing now.  Shouldl be done by noon tomorrow. | 7/19 2 guys in shop. Pat preparing for this. | 7/12 Should receive piping late this week/early next week to begin flulshing. | 6/25 on schedule | 6/18 Sending us the piping 7/1.  Offshore scope ~7/31. | 6/9 No real update
202274,Projects Returned - Invoicing Stage,PES - Hydroblasting  Phase #3,PAU Skid Pipe Spool Hydro Blasting,#rd phase Aug 2,Mike D,,,,"8/4 Mike working on tickets with Tamara. | 8/2 Keith, Zack, and Royal out today. | 7/30 Monday-Tuesday of next week. | 7/28 Next week.   | 7/26 Still next week.  Monday-Wednesday. | 7/23 Phase 3 looking like august 2. | 7/19  SHould be in next couple weeks.  Preservation powder one additional day. | 7/12 There now to blow powder in the pipe for transit. | 7/7 Will go and blow powder in the pipe on Monday.  Going back for 3rd mobe in late July | 7/2 SEcond mobe complete.  third mobe to be in August. | 6/30 Should be inspecting now and finishing today for PHase 2.6/28 Equipment not there yet. | 6/25 2nd mobe monday; Need to rent two single pod filters and air pumps | 6/18 Second mobe moved to 30th. | 6/9 Second mobe pushed to end of June around the 28th | 6/2 PES changed 2nd phase start to June 21                                                                                     5/28 Completed first phase.  Tickets submitted.  June 14 second mobe. | 5/24 starting today.  Should be done Wednesday. | 5/21 First mobe on 5/24.  Second mobe tentative 6/15 and third mobe tentative 7/8. | 5/17 Possibly starting 5/19.  Need to touch base","8/4 Mike working on tickets with Tamara. | 8/2 Keith, Zack, and Royal out today. | 7/30 Monday-Tuesday of next week. | 7/28 Next week.   | 7/26 Still next week.  Monday-Wednesday. | 7/23 Phase 3 looking like august 2. | 7/19  SHould be in next couple weeks.  Preservation powder one additional day. | 7/12 There now to blow powder in the pipe for transit. | 7/7 Will go and blow powder in the pipe on Monday.  Going back for 3rd mobe in late July | 7/2 SEcond mobe complete.  third mobe to be in August. | 6/30 Should be inspecting now and finishing today for PHase 2.6/28 Equipment not there yet. | 6/25 2nd mobe monday; Need to rent two single pod filters and air pumps | 6/18 Second mobe moved to 30th. | 6/9 Second mobe pushed to end of June around the 28th | 6/2 PES changed 2nd phase start to June 21                                                                                     5/28 Completed first phase.  Tickets submitted.  June 14 second mobe. | 5/24 starting today.  Should be done Wednesday. | 5/21 First mobe on 5/24.  Second mobe tentative 6/15 and third mobe tentative 7/8. | 5/17 Possibly starting 5/19.  Need to touch base"
202421,Projects Returned - Invoicing Stage,BP Argos ,Ballast Pigging and Flushing,Jun 17th | end-7/7,Mike D,,,,"8/4 Equipment in last night.  A few rental items on site, all personnel off site.   Pat giving Dusty a quote on equipment that remains out.  Dolly unit+. | 8/2 Finishing tomorrow. Demobilzation of personnel.  Some equipment staying.  Max will send a list on what is being kept on site/rent. | 7/30 Should be wrapping up the 4th/5th.  Downsizing crew Sunday.  Definitely contract guys.  Possibly a couple BF guys | 7/28 Covid issues. 2 Guys in quarantine.  Adam will stay until quarantines are up. | 7/26 On going.  Contract labor times submitted.  Updating last weeks tickets. | 7/23 August 8-10 target completion. | 7/21 Enermech more involved.  Our guys will stay for filtration and sampling. | 7/19 Greg down in Ingleside to assess project.  To call Mike D with findings after lunch. | 7/12 Flushing ongoing.  Adding in equipment and fittings to prepare to flush more systems at once. | 7/9 Bringing a pump to Ingleside today. | 7/2 Changing out personnel.  Wes, Teddy and Bailey leaving tonight. | 6/30  Louis returning for vacation.  Wes, Bailey, Teddy leaving Saturday.  Charles B, Raymond, and Adam going for drug screen and orientation tomorrow/Friday.  Need to adjust set up due to friction losses in system.  Pat preparing short jumpers and tubing to send to Ingleside. | 6/28 Working.  Scope changing.  Need more equipment. | 6/25 ongoing; adding flow meters and fittings | 6/21 Finished pigging 50 lines. | 6/18 Orientation today.  Should start flushing tomorrow. | 6/14 Personnel to conduct drug screening on 6/17, and begin work on 6/18 in Ingleside, Tx                                                                                                                                                      6/11 95% complete with loadout.  Pre-job on Monday morning.  Added second crew.  SIMOPS | 6/9 Proposal sent.  Getting ready for loadout.  Personnel travel Monday.  6 guys.  Should get PO this afternoon.","8/4 Equipment in last night.  A few rental items on site, all personnel off site.   Pat giving Dusty a quote on equipment that remains out.  Dolly unit+. | 8/2 Finishing tomorrow. Demobilzation of personnel.  Some equipment staying.  Max will send a list on what is being kept on site/rent. | 7/30 Should be wrapping up the 4th/5th.  Downsizing crew Sunday.  Definitely contract guys.  Possibly a couple BF guys | 7/28 Covid issues. 2 Guys in quarantine.  Adam will stay until quarantines are up. | 7/26 On going.  Contract labor times submitted.  Updating last weeks tickets. | 7/23 August 8-10 target completion. | 7/21 Enermech more involved.  Our guys will stay for filtration and sampling. | 7/19 Greg down in Ingleside to assess project.  To call Mike D with findings after lunch. | 7/12 Flushing ongoing.  Adding in equipment and fittings to prepare to flush more systems at once. | 7/9 Bringing a pump to Ingleside today. | 7/2 Changing out personnel.  Wes, Teddy and Bailey leaving tonight. | 6/30  Louis returning for vacation.  Wes, Bailey, Teddy leaving Saturday.  Charles B, Raymond, and Adam going for drug screen and orientation tomorrow/Friday.  Need to adjust set up due to friction losses in system.  Pat preparing short jumpers and tubing to send to Ingleside. | 6/28 Working.  Scope changing.  Need more equipment. | 6/25 ongoing; adding flow meters and fittings | 6/21 Finished pigging 50 lines. | 6/18 Orientation today.  Should start flushing tomorrow. | 6/14 Personnel to conduct drug screening on 6/17, and begin work on 6/18 in Ingleside, Tx                                                                                                                                                      6/11 95% complete with loadout.  Pre-job on Monday morning.  Added second crew.  SIMOPS | 6/9 Proposal sent.  Getting ready for loadout.  Personnel travel Monday.  6 guys.  Should get PO this afternoon."
